category_name,avg_review_score,review_count
cama_mesa_banho,3.92,10985
beleza_saude,4.19,9456
esporte_lazer,4.17,8436
moveis_decoracao,3.95,8159
informatica_acessorios,3.98,7672
utilidades_domesticas,4.11,6780
relogios_presentes,4.07,5825
telefonia,4.0,4408
ferramentas_jardim,4.08,4254
automotivo,4.12,4117
brinquedos,4.21,4007
cool_stuff,4.19,3698
perfumaria,4.22,3344
bebes,4.08,2967
eletronicos,4.07,2711
papelaria,4.24,2459
fashion_bolsas_e_acessorios,4.19,1994
pet_shop,4.22,1917
moveis_escritorio,3.52,1664
consoles_games,4.14,1080
